Date,Open,High,Low,Close,Volume
19-08-2019,28331.25,28468.90039,28146.5,28186.09961,0
20-08-2019,28029.80078,28038.59961,27864.59961,27982.44922,0
21-08-2019,28021,28098.90039,27666.19922,27719.05078,0
22-08-2019,27690.05078,27690.05078,26975.55078,27034.19922,0
23-08-2019,26835.34961,27207.30078,26560.59961,26958.65039,0
26-08-2019,27663.94922,27995.25,26859.34961,27951.34961,0
27-08-2019,28106.30078,28277.69922,27960.80078,28126.15039,0
28-08-2019,28080.25,28095.55078,27634.65039,27804.30078,0
29-08-2019,27694.94922,27719.05078,27239.94922,27305.19922,0
30-08-2019,27407.90039,27586.5,27121.94922,27427.84961,0
03-09-2019,27239.19922,27247.05078,26742.59961,26824.15039,0
04-09-2019,26785.94922,27278.69922,26641.34961,27123.84961,0
05-09-2019,27086.94922,27243.94922,26815.40039,26919.69922,0
06-09-2019,26986.5,27311.05078,26950.55078,27247.90039,0
09-09-2019,27240.34961,27565.55078,26993.90039,27504.65039,0
11-09-2019,27639.05078,27829.65039,27551.65039,27776.19922,0
12-09-2019,27870.80078,28062.30078,27764.69922,27818.5,0
13-09-2019,27772,28126.84961,27573.44922,28098.75,0
16-09-2019,27868,28066.69922,27798.84961,27855,0
17-09-2019,27765.09961,27851.40039,27047.94922,27131.75,0
18-09-2019,27304.69922,27414.44922,27088.80078,27172.65039,0
19-09-2019,27175.44922,27175.44922,26643,26757.65039,0
20-09-2019,26878.65039,29418.94922,26727.55078,28981.55078,0
23-09-2019,30039.40039,30801.30078,29776.30078,30566.19922,0
24-09-2019,30432,30668.09961,29889.55078,30183.09961,0
25-09-2019,30029.05078,30067.59961,29470.09961,29586.05078,0
26-09-2019,29640.55078,30718.34961,29627,30002.59961,0
27-09-2019,29974.94922,30112.65039,29711.34961,29876.65039,0
30-09-2019,29674.80078,29754.40039,28943.44922,29103.15039,0
01-10-2019,29226.15039,29526.40039,28077.34961,28725.5,1187300
03-10-2019,28606.69922,28769.09961,28240.80078,28414.09961,0
04-10-2019,28681.90039,28730.30078,27653.69922,27731.84961,0
07-10-2019,27909.90039,28185.15039,27568.34961,27767.55078,0
09-10-2019,27901.65039,28857.69922,27702.05078,28785.84961,0
10-10-2019,28542.94922,28552.75,27914.15039,28013.44922,0
11-10-2019,28245.55078,28604.05078,27736.80078,28042.5,0
14-10-2019,28238.5,28553.40039,28043.25,28181.94922,0
15-10-2019,28257.84961,28694.84961,28186.25,28555.09961,0
16-10-2019,28689.44922,28759.34961,28305.40039,28538.80078,0
17-10-2019,28596.34961,29049.05078,28487.94922,28989.44922,0
18-10-2019,28954.80078,29249.5,28864.09961,29120.25,0
22-10-2019,29416.25,29690,29231.19922,29411.15039,0
23-10-2019,29478.84961,29643.80078,29214.05078,29459.59961,0
24-10-2019,29604.34961,29693.25,28994.19922,29107.94922,0
25-10-2019,29228.65039,29452.09961,28923.80078,29395.94922,0
27-10-2019,null,null,null,null,null
29-10-2019,29527.59961,29997.65039,29385.44922,29873.05078,0
30-10-2019,30005.69922,30151.09961,29753,29987.5,0
31-10-2019,30168.65039,30415.65039,29987.15039,30066.25,0
01-11-2019,30196.15039,30409,30028.90039,30330.55078,0
04-11-2019,30415.90039,30607.05078,30227.25,30333.09961,0
05-11-2019,30403.25,30452.69922,30091.34961,30219.84961,0
06-11-2019,30225.19922,30699,30013.65039,30609.59961,0
07-11-2019,30722.59961,30821.34961,30462.55078,30633.15039,364800
08-11-2019,30571.30078,31108.40039,30504.05078,30749.40039,0
11-11-2019,30664.65039,31205.19922,30625.80078,31115.55078,0
13-11-2019,31084.75,31198.5,30488.09961,30541.55078,0
14-11-2019,30615.80078,30789.19922,30338.34961,30749.94922,0
15-11-2019,30912.40039,31165.44922,30860.69922,31008.40039,0
18-11-2019,31036.80078,31203.55078,30901.84961,30992.09961,0
19-11-2019,31045.15039,31298.05078,30974.30078,31236.25,0
20-11-2019,31292.34961,31471.65039,31205.55078,31353.84961,0
21-11-2019,31413.25,31463.15039,31243,31349.94922,0
22-11-2019,31389.59961,31394.19922,31055.19922,31111.59961,0
25-11-2019,31065.09961,31591.59961,31049.75,31555.90039,0
26-11-2019,31692.84961,31850.34961,31465.84961,31718.34961,0
27-11-2019,31832.75,31916.80078,31734.5,31875.94922,0
28-11-2019,31981.69922,32157.05078,31905.90039,32122.94922,498300
29-11-2019,32074.15039,32086.94922,31770.80078,31946.09961,0
02-12-2019,32008.30078,32024.09961,31720.59961,31871.44922,0
03-12-2019,31920.09961,31936.59961,31502.94922,31613.34961,0
04-12-2019,31549.30078,32017.75,31444,31979.30078,516800
05-12-2019,32083.80078,32126.94922,31628.30078,31712.94922,393300
06-12-2019,31797.15039,31883.69922,31250.65039,31341.55078,485400
09-12-2019,31321.40039,31537.65039,31122.05078,31316.65039,494500
10-12-2019,31386.40039,31412.80078,31126,31160.34961,505400
11-12-2019,31151.65039,31337.84961,30996.40039,31256.75,815400
12-12-2019,31356.80078,31711.44922,31352.09961,31665.44922,529700
13-12-2019,31775.55078,32105.05078,31770.5,32014.25,390500
16-12-2019,32159,32186.94922,31897.75,31974.19922,306000
17-12-2019,32082.40039,32213.34961,31987.34961,32140.25,259900
18-12-2019,32292.25,32293.65039,32017.30078,32244.25,258800
19-12-2019,32281.65039,32328.34961,32085.05078,32241.44922,436900
20-12-2019,32266.84961,32443.34961,32199.44922,32384.94922,535200
23-12-2019,32381,32502.80078,32196.84961,32339.44922,391500
24-12-2019,32337.80078,32390.34961,32246.05078,32280.75,330800
26-12-2019,32276.15039,32314.59961,31963.25,31997.69922,339800
27-12-2019,32142.5,32444.84961,32056.25,32412.34961,332400
30-12-2019,32486.59961,32613.09961,32248.5,32354.90039,0
31-12-2019,32345.94922,32345.94922,32108.75,32161.65039,251400
01-01-2020,null,null,null,null,null
02-01-2020,32133.15039,32465.44922,32121.40039,32443.84961,253600
03-01-2020,32326.94922,32329.80078,31960.40039,32069.25,217600
06-01-2020,31910.44922,31914.44922,31170.55078,31237.15039,256200
07-01-2020,31598.05078,31851.44922,31200.90039,31399.40039,294400
08-01-2020,30995.5,31451.84961,30899.55078,31373.65039,304500
09-01-2020,31748.25,32172.69922,31667.15039,32092.40039,308000
10-01-2020,32215.69922,32347.19922,31953.40039,32097.40039,444700
13-01-2020,32139.09961,32322.65039,32074.05078,32177.65039,291400
14-01-2020,32196.44922,32196.44922,31989.19922,32071.65039,438900
15-01-2020,31994.75,32000.90039,31670.34961,31824.90039,545700
16-01-2020,31810.55078,31988.90039,31692.40039,31853.90039,253700
17-01-2020,31571.65039,31773.55078,31445.5,31590.65039,308100
20-01-2020,31923.94922,31923.94922,31050.94922,31080.65039,282200
21-01-2020,30978.84961,31171.25,30858.59961,30947.55078,227500
22-01-2020,31061.59961,31149.05078,30614,30701.44922,200600
23-01-2020,30742.19922,31087.25,30621.34961,31004.05078,343800
24-01-2020,31040.09961,31375.44922,30879.05078,31241.75,424600
27-01-2020,31110.55078,31227.05078,30808.55078,30837.40039,309900
28-01-2020,30922,31048.44922,30656.34961,30761.40039,239600
29-01-2020,30915.09961,31082.84961,30835.80078,30877,268800
30-01-2020,30889.25,30909.5,30521.30078,30647.40039,328900
31-01-2020,30950.5,31033.44922,30691.80078,30833.59961,333400
03-02-2020,29811.75,30105.80078,29612.55078,30023.25,337100
04-02-2020,30235.30078,30776.94922,30182.44922,30686.69922,336600
05-02-2020,30761.94922,31065.84961,30630.84961,31001.94922,427600
06-02-2020,31070.75,31470.65039,30917.25,31304.05078,334000
07-02-2020,31367.05078,31368.19922,31111.05078,31201.94922,254400
10-02-2020,31248.65039,31248.80078,30957.19922,31058.15039,239700
11-02-2020,31230.19922,31505.94922,31225.90039,31300.59961,198900
12-02-2020,31441.15039,31588.59961,31398.15039,31492.90039,226000
13-02-2020,31586.55078,31649.44922,31180.59961,31230.25,303000
14-02-2020,31281.84961,31436.65039,30776.09961,30834.80078,341400
17-02-2020,30873.84961,30998.15039,30630.5,30680.69922,0
18-02-2020,30661.5,30692.75,30252.44922,30562.5,398900
19-02-2020,30905,30947.15039,30606.15039,30838.19922,268800
20-02-2020,30862.30078,31085.30078,30702.44922,30942.84961,273100
24-02-2020,30666.34961,30702.15039,30428,30455.09961,254200
25-02-2020,30517,30610.69922,30329.94922,30432.69922,215900
26-02-2020,30279.94922,30515.34961,30131.75,30306.84961,291000
27-02-2020,30270,30271.94922,29914.15039,30187,358000
28-02-2020,29501.55078,29564.09961,29051.5,29147.15039,386900
02-03-2020,29701,29791.15039,28571.69922,28868.40039,368300
03-03-2020,29012.55078,29285.34961,28749.55078,29177.05078,367300
04-03-2020,29252.94922,29273.65039,28125.15039,28653.69922,425800
05-03-2020,28830.30078,29134.30078,28535.59961,28815.34961,1075700
06-03-2020,27649.94922,28047.19922,27162.30078,27801.44922,1568100
09-03-2020,27031.44922,27091.59961,25923.40039,26462.59961,1059000
11-03-2020,26272.75,26791.44922,26234.09961,26487.80078,723300
12-03-2020,25175.90039,25223.09961,23536.34961,23971.15039,760600
13-03-2020,22720.75,25670.75,21351.69922,25166.44922,783400
16-03-2020,24061.59961,24074.15039,23008.25,23101.15039,481900
17-03-2020,23348.05078,23449.5,22002,22155.15039,537700
18-03-2020,22411.84961,22544.05078,20267.94922,20580.19922,875300
19-03-2020,19428.94922,21035.05078,18675.65039,20083.5,476600
20-03-2020,19898.30078,20924.55078,19265,20317.59961,501800
23-03-2020,18311.30078,18895.65039,16791.05078,16917.65039,307600
24-03-2020,17705.84961,17841.40039,16116.25,17107.30078,391700
25-03-2020,16759.94922,18740.19922,16635.5,18481.05078,394600
26-03-2020,18781.84961,20409.34961,18364.5,19613.90039,482900
27-03-2020,20801.59961,21462.40039,19580.09961,19969,539400
30-03-2020,19254.44922,19716.25,18668.69922,18782.40039,327000
31-03-2020,19307.65039,19466.30078,18792.40039,19144,309800
01-04-2020,19122.40039,19154.75,18042.25,18208.34961,274900
03-04-2020,18325.05078,18326.09961,17143.19922,17249.30078,342500
07-04-2020,18454.55078,19190.55078,17953.75,19062.5,435400
08-04-2020,18799.40039,20324.09961,18482.90039,18946.44922,508400
09-04-2020,19553.15039,19988.30078,19166.90039,19913.59961,390000
13-04-2020,19854.90039,19887.05078,19294,19488,288200
15-04-2020,20096.34961,20184.09961,18776.75,19057.05078,389900
16-04-2020,18957.15039,19520.30078,18703.44922,19400,350300
17-04-2020,20394.75,20866.55078,19729.30078,20681.44922,475000
20-04-2020,21104.69922,21122.09961,20444.25,20522.65039,438600
21-04-2020,19812.05078,19891.44922,19247.94922,19409.34961,311900
22-04-2020,19306.94922,19806.34961,19051.94922,19701.84961,349400
23-04-2020,19871.34961,20356.5,19584.40039,20267.94922,325400
24-04-2020,19697.65039,19950.15039,19515.40039,19586.65039,305700
27-04-2020,19870.80078,20224.75,19847.65039,20081.15039,299900
28-04-2020,20436.59961,20751.30078,20260.80078,20671.09961,367800
29-04-2020,20440.40039,21348.15039,20393.65039,21090.19922,400600
30-04-2020,21589.19922,21967,21353.65039,21534.5,471500
04-05-2020,20514.75,20530.44922,19643.59961,19743.75,328800
05-05-2020,20147.30078,20223.15039,19212.34961,19271.75,381300
06-05-2020,19302.44922,19806.59961,18941,19694.55078,395600
07-05-2020,19536.05078,19757.25,19332.15039,19491.80078,300100
08-05-2020,19844,19969.59961,19285.05078,19352.90039,0
11-05-2020,19610.44922,19733.40039,18900.90039,18950.5,342600
12-05-2020,18751.40039,18993.40039,18287,18862.84961,395400
13-05-2020,20017.75,20122.25,19429.90039,19634.94922,520800
14-05-2020,19197.69922,19380.09961,19024.75,19068.5,333000
15-05-2020,19098.80078,19119.09961,18683.65039,18833.94922,240600
18-05-2020,18795.09961,18795.09961,17514.19922,17573.19922,434800
19-05-2020,18037.15039,18175.30078,17390.65039,17486.25,415500
20-05-2020,17486.5,18002.65039,17407.69922,17840.19922,326200
21-05-2020,17901.94922,18200.69922,17658.55078,17735.09961,347600
22-05-2020,17554.25,17952.25,17105,17278.90039,484800
26-05-2020,17537.65039,17681.69922,17311.25,17440.34961,336800
27-05-2020,17603.40039,18874.25,17560.34961,18710.55078,538000
28-05-2020,18924.44922,19455.55078,18818.94922,19169.80078,561100
29-05-2020,18962,19358.05078,18729.90039,19297.25,581700
01-06-2020,19728.90039,20225.34961,19632.90039,19959.90039,558100
02-06-2020,20120.59961,20615.75,19852.55078,20530.19922,448300
03-06-2020,20966.59961,21619.55078,20822,20940.69922,616900
04-06-2020,20932.34961,21141.80078,20316.19922,20390.44922,587900
05-06-2020,20516.40039,21198.69922,20425.05078,21034.5,637400
08-06-2020,21636.09961,21807.40039,20911.25,21187.34961,748100
09-06-2020,21295.5,21568.84961,20629.69922,20724.90039,641200
10-06-2020,20760.94922,21251.44922,20671.55078,21100.09961,583000
11-06-2020,21084.69922,21244.44922,20458.30078,20525.15039,747100
12-06-2020,19529.30078,20747.69922,19526.09961,20654.55078,599200
15-06-2020,20457.15039,20470.84961,19740.19922,19912.90039,0
16-06-2020,20500.65039,20638.84961,19507.05078,20296.69922,0
17-06-2020,20137.44922,20627.90039,19978.15039,20201.75,0
18-06-2020,20137.59961,21028.34961,20030.34961,20956.30078,0
